Drug ID,Name,Slug,Url,Provider ID
234,,kraska-dlya-volos-bez-ammiaka-ton-krasnoe-derevo-sanavi-sanavi-75-g,https://domayurveda.ru/magazin/product/kraska-dlya-volos-bez-ammiaka-ton-krasnoe-derevo-sanavi-sanavi-75-g,3
235,,chavanprash-bez-sahara-chavanprakash-chyawanprakash-sugarfree-dlya-immuniteta-dabur-dabur-500-gr,https://domayurveda.ru/magazin/product/chavanprash-bez-sahara-chavanprakash-chyawanprakash-sugarfree-dlya-immuniteta-dabur-dabur-500-gr,3
236,,medha-vati-medha-vati-extra-power-tonik-dlya-mozga-pamyati-sosudov-patandzhali-patanjali-120-tab,https://domayurveda.ru/magazin/product/medha-vati-medha-vati-extra-power-tonik-dlya-mozga-pamyati-sosudov-patandzhali-patanjali-120-tab,3
237,,mukta-vati-mukta-vati-extra-power-pomoshch-pri-vysokom-davlenii-patandzhali-patanjali-120-tab,https://domayurveda.ru/magazin/product/mukta-vati-mukta-vati-extra-power-pomoshch-pri-vysokom-davlenii-patandzhali-patanjali-120-tab,3
238,,sirop-septilin-septilin-syrup-dlya-immuniteta-himalaya-himalaya-200-ml,https://domayurveda.ru/magazin/product/sirop-septilin-septilin-syrup-dlya-immuniteta-himalaya-himalaya-200-ml,3
239,,sirop-shatavari-shatavari-syrup-zhenskoe-zdorove-himalaya-himalaya-200-ml,https://domayurveda.ru/magazin/product/sirop-shatavari-shatavari-syrup-zhenskoe-zdorove-himalaya-himalaya-200-ml,3
240,,poroshok-dlya-volos-shikakaj-shikakai-hair-powder-indibird-50g,https://domayurveda.ru/magazin/product/poroshok-dlya-volos-shikakaj-shikakai-hair-powder-indibird-50g,3
241,,poroshok-gotu-kola-gotu-cola-indibird-50-g,https://domayurveda.ru/magazin/product/poroshok-gotu-kola-gotu-cola-indibird-50-g,3
242,,naturalnaya-hna-na-dlya-volos-bescvetnaya-henna-colorless-indibird-200-g,https://domayurveda.ru/magazin/product/naturalnaya-hna-na-dlya-volos-bescvetnaya-henna-colorless-indibird-200-g,3
243,,poroshok-dlya-volos-semena-hny-henna-seeds-powder-indibird-200-g,https://domayurveda.ru/magazin/product/poroshok-dlya-volos-semena-hny-henna-seeds-powder-indibird-200-g,3
244,,madhunashini-vati-madhunashini-vati-extra-power-pomoshch-pri-saharnom-diabete-patandzhali-patanjali-120-tab,https://domayurveda.ru/magazin/product/madhunashini-vati-madhunashini-vati-extra-power-pomoshch-pri-saharnom-diabete-patandzhali-patanjali-120-tab,3
245,,poroshok-brami-brahmi-powder-indibird-100-g,https://domayurveda.ru/magazin/product/poroshok-brami-brahmi-powder-indibird-100-g,3
246,,trifala-guggul-triphala-guggulu-dabur-dabur-40-tab,https://domayurveda.ru/magazin/product/trifala-guggul-triphala-guggulu-dabur-dabur-40-tab,3
247,,kareprost-dlya-rosta-resnic-bimatoprost-ophthalmic-solution-careprost-3ml,https://domayurveda.ru/magazin/product/kareprost-dlya-rosta-resnic-bimatoprost-ophthalmic-solution-careprost-3ml,3
248,,sredstvo-dlya-rosta-volos-trichup-trichup-vasu-vasu-60-tab,https://domayurveda.ru/magazin/product/sredstvo-dlya-rosta-volos-trichup-trichup-vasu-vasu-60-tab,3
249,,hna-pasta-dlya-tatu-mehendi-tradicionnaya-golecha-heena-paste-golecha-12-sht,https://domayurveda.ru/magazin/product/hna-pasta-dlya-tatu-mehendi-tradicionnaya-golecha-heena-paste-golecha-12-sht,3
250,,chavanprash-dvojnoj-immunitet-chyawanprash-double-immunity-dabur-dabur-500-gr-75-gr,https://domayurveda.ru/magazin/product/chavanprash-dvojnoj-immunitet-chyawanprash-double-immunity-dabur-dabur-500-gr-75-gr,3
251,,rumalaya-rumalaya-liniment-ot-boli-v-spine-himalaya-himalaya-60-ml,https://domayurveda.ru/magazin/product/rumalaya-rumalaya-liniment-ot-boli-v-spine-himalaya-himalaya-60-ml,3
252,,maslo-kokos-holodnyj-otzhim-coconut-oil-virgin-indibird-dlya-zagara-uvlazhneniya-kozhi-150-ml,https://domayurveda.ru/magazin/product/maslo-kokos-holodnyj-otzhim-coconut-oil-virgin-indibird-dlya-zagara-uvlazhneniya-kozhi-150-ml,3
253,,zubnaya-pasta-kompleksnyj-uhod-complete-care-himalaya-himalaya-80-gr,https://domayurveda.ru/magazin/product/zubnaya-pasta-kompleksnyj-uhod-complete-care-himalaya-himalaya-80-gr,3
254,,poroshok-maska-dlya-volos-bringaradzh-bringaraj-powder-indibird-200-gr,https://domayurveda.ru/magazin/product/poroshok-maska-dlya-volos-bringaradzh-bringaraj-powder-indibird-200-gr,3
255,,zubnaya-pasta-red-red-toothpaste-dabur-dabur-100-gr,https://domayurveda.ru/magazin/product/zubnaya-pasta-red-red-toothpaste-dabur-dabur-100-gr,3
256,,preparpat-ot-stressa-stresskom-stresscom-dabur-dabur-120-kap,https://domayurveda.ru/magazin/product/preparpat-ot-stressa-stresskom-stresscom-dabur-dabur-120-kap,3
257,,poroshok-dlya-tela-ardzhuna-arjuna-body-powder-indibird-100-g,https://domayurveda.ru/magazin/product/poroshok-dlya-tela-ardzhuna-arjuna-body-powder-indibird-100-g,3
258,,deva-vati-dlya-uluchsheniya-pishchevareniya-deva-vati-shri-shri-tattva-sri-sri-tattva-60-tab,https://domayurveda.ru/magazin/product/deva-vati-dlya-uluchsheniya-pishchevareniya-deva-vati-shri-shri-tattva-sri-sri-tattva-60-tab,3
259,,liv-on-tonik-dlya-pecheni-liv-on-shri-shri-tattva-sri-sri-tattva-60-tab,https://domayurveda.ru/magazin/product/liv-on-tonik-dlya-pecheni-liv-on-shri-shri-tattva-sri-sri-tattva-60-tab,3
260,,spermakot-v-granulah-spermakot-granule-lechenie-muzhskogo-besplodiya-kottakkal-kottakkal-150-gr,https://domayurveda.ru/magazin/product/spermakot-v-granulah-spermakot-granule-lechenie-muzhskogo-besplodiya-kottakkal-kottakkal-150-gr,3
261,,glyukomap-glucomap-ot-diabeta-maharishi-ayurveda-maharishi-ayurveda-100-tab,https://domayurveda.ru/magazin/product/glyukomap-glucomap-ot-diabeta-maharishi-ayurveda-maharishi-ayurveda-100-tab,3
262,,tabletki-dlya-zreniya-udzhala-ujala-vyas-vyas-100-tab,https://domayurveda.ru/magazin/product/tabletki-dlya-zreniya-udzhala-ujala-vyas-vyas-100-tab,3
263,,distancionnaya-konsultaciya-cherez-whatsapp,https://domayurveda.ru/magazin/product/distancionnaya-konsultaciya-cherez-whatsapp,3
